"","accession","proteinId","Description","logFC","logCPM","PValue","DE_origin","de_dir","K_no","A","B","C","D","E","FF","G","H"
"18","OEU09871.1","271288","ribosomal protein S12 ",1.43616044604724,11.1112074416228,0.00946135353484466,"B12",1,"K02951","Genetic Information Processing","Translation","Ribosome [BR:ko03011]","Ribosomal Proteins","Eukaryotes","Small subunit","",""
"19","OEU15295.1","208848","hypothetical protein FRACYDRAFT_208848 ",-1.19552977793917,8.99959578423719,0.0195311525253565,"B12",-1,"K14006","Genetic Information Processing","Folding, sorting and degradation","Protein processing in endoplasmic reticulum [PATH:ko04141]","","","","",""
"20","OEU15295.1","208848","hypothetical protein FRACYDRAFT_208848 ",-1.19552977793917,8.99959578423719,0.0195311525253565,"B12",-1,"K14006","Genetic Information Processing","Folding, sorting and degradation","Membrane trafficking [BR:ko04131]","Endoplasmic reticulum (ER) - Golgi transport","Forward pathways","Coat protein complex II (COP-II)","",""
"21","OEU21485.1","259901","Cys_Met_Meta_PP-domain-containing protein ",-1.36760622712457,8.72432857328261,0.0202627292683166,"B12",-1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"22","1773362818",NA,"photosystem I p700 chlorophyll A apoprotein B (chloroplast) [Fragilariopsis cylindrus]",0.891431249550281,10.606745499127,0.0225060599118118,"B12",1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"23","OEU18451.1","260397","hypothetical protein FRACYDRAFT_260397 ",1.1344673029687,9.75690020064501,0.025106487009013,"B12",1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"24","OEU11984.1","211208","casein kinase I delta ",-1.29609797894183,9.26227065034743,0.0258193141997542,"B12",-1,"K08959","Environmental Information Processing","Signal transduction","Hedgehog signaling pathway [PATH:ko04340]","","","","",""
"25","OEU11984.1","211208","casein kinase I delta ",-1.29609797894183,9.26227065034743,0.0258193141997542,"B12",-1,"K08959","Environmental Information Processing","Signal transduction","Hippo signaling pathway [PATH:ko04390]","","","","",""
"26","OEU11984.1","211208","casein kinase I delta ",-1.29609797894183,9.26227065034743,0.0258193141997542,"B12",-1,"K08959","Cellular Processes","Cellular community - eukaryotes","Gap junction [PATH:ko04540]","","","","",""
"27","OEU11984.1","211208","casein kinase I delta ",-1.29609797894183,9.26227065034743,0.0258193141997542,"B12",-1,"K08959","Metabolism","Enzyme families","Protein kinases [BR:ko01001]","Serine/threonine protein kinases: CK1 group","CK1 family [OT]","","",""
"28","OEU11984.1","211208","casein kinase I delta ",-1.29609797894183,9.26227065034743,0.0258193141997542,"B12",-1,"K08959","Genetic Information Processing","Replication and repair","Chromosome and associated proteins [BR:ko03036]","Eukaryotic Type","Centrosome formation and ciliogenesis proteins","Kinases and associated factors","",""
"29","OEU17392.1","207660","putative glucose-6-phosphate dehydrogenase ",0.839642249617382,11.2325341147069,0.026830855998508,"B12",1,"K00036","Metabolism","Carbohydrate metabolism","Pentose phosphate pathway [PATH:ko00030]","","","","",""
"30","OEU17392.1","207660","putative glucose-6-phosphate dehydrogenase ",0.839642249617382,11.2325341147069,0.026830855998508,"B12",1,"K00036","Metabolism","Metabolism of other amino acids","Glutathione metabolism [PATH:ko00480]","","","","",""
"31","OEU17392.1","207660","putative glucose-6-phosphate dehydrogenase ",0.839642249617382,11.2325341147069,0.026830855998508,"B12",1,"K00036","Cellular Processes","Transport and catabolism","Exosome [BR:ko04147]","Exosomal proteins","Exosomal proteins of breast cancer cells","","",""
"32","OEU17392.1","207660","putative glucose-6-phosphate dehydrogenase ",0.839642249617382,11.2325341147069,0.026830855998508,"B12",1,"K00036","Cellular Processes","Transport and catabolism","Exosome [BR:ko04147]","Exosomal proteins","Exosomal proteins of colorectal cancer cells","","",""
"33","OEU17392.1","207660","putative glucose-6-phosphate dehydrogenase ",0.839642249617382,11.2325341147069,0.026830855998508,"B12",1,"K00036","Cellular Processes","Transport and catabolism","Exosome [BR:ko04147]","Exosomal proteins","Exosomal proteins of bladder cancer cells","","",""
"34","OEU16003.1","218256","porphobilinogen synthase ",-1.0864664430645,10.4369054675026,0.0276162084528716,"B12",-1,"K01698","Metabolism","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism [PATH:ko00860]","","","","",""
"35","OEU16003.1","218256","porphobilinogen synthase ",-1.0864664430645,10.4369054675026,0.0276162084528716,"B12",-1,"K01698","Cellular Processes","Transport and catabolism","Exosome [BR:ko04147]","Exosomal proteins","Exosomal proteins of other body fluids (saliva and urine)","","",""
"36","OEU09987.1","271162","hypothetical protein FRACYDRAFT_271162 ",2.01854715767835,8.40723491675574,0.0281933900160741,"B12",1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"37","OEU17697.1","207847","argininosuccinate synthase ",-0.748145321415366,10.5010080272396,0.0304317770240819,"B12",-1,"K01940","Metabolism","Amino acid metabolism","Alanine, aspartate and glutamate metabolism [PATH:ko00250]","","","","",""
"38","OEU17697.1","207847","argininosuccinate synthase ",-0.748145321415366,10.5010080272396,0.0304317770240819,"B12",-1,"K01940","Metabolism","Amino acid metabolism","Arginine biosynthesis [PATH:ko00220]","","","","",""
"39","OEU17697.1","207847","argininosuccinate synthase ",-0.748145321415366,10.5010080272396,0.0304317770240819,"B12",-1,"K01940","Cellular Processes","Transport and catabolism","Exosome [BR:ko04147]","Exosomal proteins","Exosomal proteins of other body fluids (saliva and urine)","","",""
"40","OEU15128.1","239808","acetate CoA ligase ",-1.45252780976379,9.46021427247672,0.0304333553481809,"B12",-1,"K01895","Metabolism","Carbohydrate metabolism","Glycolysis / Gluconeogenesis [PATH:ko00010]","","","","",""
"41","OEU15128.1","239808","acetate CoA ligase ",-1.45252780976379,9.46021427247672,0.0304333553481809,"B12",-1,"K01895","Metabolism","Carbohydrate metabolism","Pyruvate metabolism [PATH:ko00620]","","","","",""
"42","OEU15128.1","239808","acetate CoA ligase ",-1.45252780976379,9.46021427247672,0.0304333553481809,"B12",-1,"K01895","Metabolism","Carbohydrate metabolism","Propanoate metabolism [PATH:ko00640]","","","","",""
"43","OEU15128.1","239808","acetate CoA ligase ",-1.45252780976379,9.46021427247672,0.0304333553481809,"B12",-1,"K01895","Metabolism","Energy metabolism","Methane metabolism [PATH:ko00680]","","","","",""
"44","OEU15128.1","239808","acetate CoA ligase ",-1.45252780976379,9.46021427247672,0.0304333553481809,"B12",-1,"K01895","Metabolism","Lipid metabolism","Lipid biosynthesis protein [BR:ko01004]","Acyl-CoA synthetase","Short/medium chain acyl-CoA synthetase","","",""
"45","OEU18543.1","183685","TPR-like protein ",-1.20685851473917,9.07548952578728,0.0337711922405355,"B12",-1,"K09553","Genetic Information Processing","Folding, sorting and degradation","Chaperones and folding catalysts [BR:ko03110]","Other chaperones and cochaperones","Sti1 / p60","","",""
"46","OEU07841.1","277738","serine hydroxymethyltransferase ",1.14252013644176,10.3576335045229,0.0377202477131296,"B12",1,"K00600","Metabolism","Carbohydrate metabolism","Glyoxylate and dicarboxylate metabolism [PATH:ko00630]","","","","",""
"47","OEU07841.1","277738","serine hydroxymethyltransferase ",1.14252013644176,10.3576335045229,0.0377202477131296,"B12",1,"K00600","Metabolism","Energy metabolism","Methane metabolism [PATH:ko00680]","","","","",""
"48","OEU07841.1","277738","serine hydroxymethyltransferase ",1.14252013644176,10.3576335045229,0.0377202477131296,"B12",1,"K00600","Metabolism","Amino acid metabolism","Glycine, serine and threonine metabolism [PATH:ko00260]","","","","",""
"49","OEU07841.1","277738","serine hydroxymethyltransferase ",1.14252013644176,10.3576335045229,0.0377202477131296,"B12",1,"K00600","Metabolism","Metabolism of other amino acids","Cyanoamino acid metabolism [PATH:ko00460]","","","","",""
"50","OEU07841.1","277738","serine hydroxymethyltransferase ",1.14252013644176,10.3576335045229,0.0377202477131296,"B12",1,"K00600","Metabolism","Metabolism of cofactors and vitamins","One carbon pool by folate [PATH:ko00670]","","","","",""
"51","OEU14774.1","170761","Chloroa_b-bind-domain-containing protein ",0.510366056198937,10.5293468503087,0.0393433556225975,"B12",1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"52","OEU21644.1","291486","mitochondrial 2-oxoglutarate/malate carrier protein ",1.11399668310798,11.3826263117867,0.041912441789008,"B12",1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"53","OEU12438.1","263182","phosphofructokinase ",0.910926891656463,9.39603897700074,0.042924427920286,"B12",1,"K00895","Metabolism","Carbohydrate metabolism","Glycolysis / Gluconeogenesis [PATH:ko00010]","","","","",""
"54","OEU12438.1","263182","phosphofructokinase ",0.910926891656463,9.39603897700074,0.042924427920286,"B12",1,"K00895","Metabolism","Carbohydrate metabolism","Pentose phosphate pathway [PATH:ko00030]","","","","",""
"55","OEU12438.1","263182","phosphofructokinase ",0.910926891656463,9.39603897700074,0.042924427920286,"B12",1,"K00895","Metabolism","Carbohydrate metabolism","Fructose and mannose metabolism [PATH:ko00051]","","","","",""
"56","OEU15780.1","170453","chlorophyll a/b-binding protein ",-1.07835343122607,8.82170895542667,0.0449777073644443,"B12",-1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"57","OEU21243.1","206298","cell division protease ftsH 4 ",-1.0274471477471,10.3254570454994,0.0471859022739684,"B12",-1,"K03798","Metabolism","Enzyme families","Peptidases [BR:ko01002]","Metallo Peptidases","Family M41: FtsH endopeptidase family","","",""
"58","OEU21243.1","206298","cell division protease ftsH 4 ",-1.0274471477471,10.3254570454994,0.0471859022739684,"B12",-1,"K03798","Genetic Information Processing","Folding, sorting and degradation","Chaperones and folding catalysts [BR:ko03110]","Other chaperones and cochaperones","AAA proteases","","",""
"59","OEU15135.1","226008","3-phosphoshikimate 1-carboxyvinyltransferase ",-0.64940674519107,9.92299180874882,0.0499840385240424,"B12",-1,"K00800","Metabolism","Amino acid metabolism","Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","","","","",""
"60","OEU08040.1","271832","hypothetical protein FRACYDRAFT_271832 ",3.11790193579941,9.62185222934193,1.48816199878811e-05,"temp",1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"61","OEU16390.1","225659","thiamine biosynthesis protein thiC ",-2.30178409085944,9.61808069276833,6.54626793336643e-05,"temp",-1,"K03147","Metabolism","Metabolism of cofactors and vitamins","Thiamine metabolism [PATH:ko00730]","","","","",""
"62","OEU17510.1","268718","60S ribosomal protein L24 ",-1.81137471099557,9.74112707849013,0.000117861017919766,"temp",-1,"K02896","Genetic Information Processing","Translation","Ribosome [PATH:ko03010]","","","","",""
"63","OEU17510.1","268718","60S ribosomal protein L24 ",-1.81137471099557,9.74112707849013,0.000117861017919766,"temp",-1,"K02896","Genetic Information Processing","Translation","Ribosome [BR:ko03011]","Ribosomal Proteins","Eukaryotes","Large subunit","",""
"64","OEU23398.1","233571","barren-domain-containing protein ",1.38880838614952,10.7127393202004,0.000238237120023521,"temp",1,"K06676","Cellular Processes","Cell growth and death","Cell cycle - yeast [PATH:ko04111]","","","","",""
"65","OEU23398.1","233571","barren-domain-containing protein ",1.38880838614952,10.7127393202004,0.000238237120023521,"temp",1,"K06676","Genetic Information Processing","Replication and repair","Chromosome and associated proteins [BR:ko03036]","Eukaryotic Type","Chromosome condensation proteins","Condensin I","",""
"66","OEU08856.1","196010","GTP-binding protein EngA ",-1.91040094312969,9.09225986751772,0.000240803502771942,"temp",-1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"67","OEU12584.1","210755","chromosome assembly protein ",1.49698488949734,9.94709597613515,0.000588251968010866,"temp",1,"K06674","Cellular Processes","Cell growth and death","Cell cycle - yeast [PATH:ko04111]","","","","",""
"68","OEU12584.1","210755","chromosome assembly protein ",1.49698488949734,9.94709597613515,0.000588251968010866,"temp",1,"K06674","Genetic Information Processing","Replication and repair","Chromosome and associated proteins [BR:ko03036]","Eukaryotic Type","Chromosome condensation proteins","Condensin I","",""
"69","OEU12584.1","210755","chromosome assembly protein ",1.49698488949734,9.94709597613515,0.000588251968010866,"temp",1,"K06674","Genetic Information Processing","Replication and repair","Chromosome and associated proteins [BR:ko03036]","Eukaryotic Type","Chromosome condensation proteins","Condensin II","",""
"70","OEU08435.1","196661","Flavocytochrome c ",1.45059647223021,9.81131905729729,0.000851340972511244,"temp",1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"71","OEU15214.1","208780","P-loop containing nucleoside triphosphate hydrolase protein ",-1.80817616410243,9.01995465000375,0.00150420760624416,"temp",-1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"72","OEU19288.1","235337","hypothetical protein FRACYDRAFT_235337 ",2.88721176396745,7.93469408225356,0.00160792528522273,"temp",1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"73","OEU23066.1","205573","P-loop containing nucleoside triphosphate hydrolase protein ",1.45484582649436,9.14997125197546,0.00179640145239158,"temp",1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"74","OEU13881.1","262424","hypothetical protein FRACYDRAFT_262424 ",1.48469438249792,9.23314873647959,0.00242566576803748,"temp",1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"75","OEU20131.1","236198","hypothetical protein FRACYDRAFT_236198 ",-2.34952743674594,8.96154584467261,0.00277969255271095,"temp",-1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"76","OEU17620.1","275154","hypothetical protein FRACYDRAFT_275154 ",-1.23543530112047,9.50290572352261,0.00300950735364879,"temp",-1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"77","OEU18398.1","183391","DEAD-domain-containing protein ",-1.0699083716472,10.0242205300567,0.00392217199115016,"temp",-1,"K12823","Genetic Information Processing","Transcription","Spliceosome [PATH:ko03040]","","","","",""
"78","OEU18398.1","183391","DEAD-domain-containing protein ",-1.0699083716472,10.0242205300567,0.00392217199115016,"temp",-1,"K12823","Genetic Information Processing","Transcription","Spliceosome [BR:ko03041]","Complex A","U1 snRNP components","U1 related factors","",""
"79","OEU18398.1","183391","DEAD-domain-containing protein ",-1.0699083716472,10.0242205300567,0.00392217199115016,"temp",-1,"K12823","Genetic Information Processing","Transcription","Spliceosome [BR:ko03041]","Complex B","U1 snRNP components","U1 related factors","",""
"80","OEU18398.1","183391","DEAD-domain-containing protein ",-1.0699083716472,10.0242205300567,0.00392217199115016,"temp",-1,"K12823","Genetic Information Processing","Translation","Ribosome biogenesis [BR:ko03009]","Eukaryotic Type","Pre-60S particles","Helicases","",""
"81","OEU20259.1","260278","hypothetical protein FRACYDRAFT_260278 ",0.917333246216264,10.7224751127299,0.00443477587524938,"temp",1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"82","OEU15576.1","170289","protoporphyrin IX Mg-chelatase subunit D ",-0.948889747565953,10.3600181407026,0.00460550717303895,"temp",-1,"K03404","Metabolism","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism [PATH:ko00860]","","","","",""
"83","OEU15125.1","169934","charged multivesicular body protein ",1.40426298170271,10.0188781374741,0.00485561969258772,"temp",1,"K12197","Cellular Processes","Transport and catabolism","Endocytosis [PATH:ko04144]","","","","",""
"84","OEU15125.1","169934","charged multivesicular body protein ",1.40426298170271,10.0188781374741,0.00485561969258772,"temp",1,"K12197","Genetic Information Processing","Folding, sorting and degradation","Membrane trafficking [BR:ko04131]","Endosome - Lysosome transport","Endosomal sorting complexes required for transport (ESCRT)","ESCRT-III complex","",""
"85","OEU15125.1","169934","charged multivesicular body protein ",1.40426298170271,10.0188781374741,0.00485561969258772,"temp",1,"K12197","Cellular Processes","Transport and catabolism","Exosome [BR:ko04147]","Exosomal proteins","Exosomal proteins of haemopoietic cells  (B-cell, T-cell, DC-cell, reticulocyte, and mast cell)","","",""
"86","OEU15125.1","169934","charged multivesicular body protein ",1.40426298170271,10.0188781374741,0.00485561969258772,"temp",1,"K12197","Cellular Processes","Transport and catabolism","Exosome [BR:ko04147]","Exosomal proteins","Exosomal proteins of other body fluids (saliva and urine)","","",""
"87","OEU15125.1","169934","charged multivesicular body protein ",1.40426298170271,10.0188781374741,0.00485561969258772,"temp",1,"K12197","Cellular Processes","Transport and catabolism","Exosome [BR:ko04147]","Exosomal proteins","Exosomal proteins of colorectal cancer cells","","",""
"88","OEU10171.1","173335","hypothetical protein FRACYDRAFT_173335 ",-0.668203471622736,10.8747421702555,0.00509577973380005,"temp",-1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"89","OEU16003.1","218256","porphobilinogen synthase ",-1.50056464881772,10.4369054675026,0.00722510002100746,"temp",-1,"K01698","Metabolism","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism [PATH:ko00860]","","","","",""
"90","OEU16003.1","218256","porphobilinogen synthase ",-1.50056464881772,10.4369054675026,0.00722510002100746,"temp",-1,"K01698","Cellular Processes","Transport and catabolism","Exosome [BR:ko04147]","Exosomal proteins","Exosomal proteins of other body fluids (saliva and urine)","","",""
"91","OEU17057.1","239660","hypothetical protein FRACYDRAFT_239660 ",1.47243025452663,8.63694587717795,0.00837992217641391,"temp",1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"92","OEU13503.1","241836","hypothetical protein FRACYDRAFT_241836 ",1.19127360866484,10.1205158984928,0.0100190021640095,"temp",1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"93","OEU20628.1","259614","(E)-4-hydroxy-3-methylbut-2-enyl diphosphate synthase ",-0.802266385412501,10.0774652383946,0.0120128394805172,"temp",-1,"K03526","Metabolism","Metabolism of terpenoids and polyketides","Terpenoid backbone biosynthesis [PATH:ko00900]","","","","",""
"94","OEU20689.1","205957","Ribonuc_red_lgC-domain-containing protein ",-1.10667601349324,9.26943584009557,0.0132675650625995,"temp",-1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"95","OEU07775.1","229440","putative dehydroascorbate reductase ",-0.794448933348031,10.1260811636132,0.0134966002779694,"temp",-1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"96","OEU18066.1","261055","protoporphyrin IX Mg-chelatase subunit H ",-1.49282631062544,8.69170382230642,0.0153305404175387,"temp",-1,"K03403","Metabolism","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism [PATH:ko00860]","","","","",""
"97","OEU21646.1","274188","methionine sulfoxide reductase B ",-1.40102056614572,8.74015948567888,0.0178414965905298,"temp",-1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"98","OEU20813.1","206067","putative GDP-mannose 4,6-dehydratase ",-1.46118526309141,8.65304741142348,0.0195236516686851,"temp",-1,"K01711","Metabolism","Carbohydrate metabolism","Fructose and mannose metabolism [PATH:ko00051]","","","","",""
"99","OEU20813.1","206067","putative GDP-mannose 4,6-dehydratase ",-1.46118526309141,8.65304741142348,0.0195236516686851,"temp",-1,"K01711","Metabolism","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism [PATH:ko00520]","","","","",""
"100","OEU08698.1","196320","putative glutathione S-transferase ",1.04762372147895,9.21209408786378,0.021261414823516,"temp",1,"K04097","Metabolism","Lipid metabolism","Arachidonic acid metabolism [PATH:ko00590]","","","","",""
"101","OEU08698.1","196320","putative glutathione S-transferase ",1.04762372147895,9.21209408786378,0.021261414823516,"temp",1,"K04097","Metabolism","Metabolism of other amino acids","Glutathione metabolism [PATH:ko00480]","","","","",""
"102","OEU08698.1","196320","putative glutathione S-transferase ",1.04762372147895,9.21209408786378,0.021261414823516,"temp",1,"K04097","Metabolism","Xenobiotics biodegradation and metabolism","Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]","","","","",""
"103","OEU12494.1","191288","hypothetical protein FRACYDRAFT_191288, partial ",-0.682280807572718,11.3652533960955,0.021536168136585,"temp",-1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"104","OEU17774.1","207885","FAD-binding domain-containing protein ",0.96589313924216,9.40314440232829,0.0227626177143064,"temp",1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"105","OEU13317.1","241655","hypothetical protein FRACYDRAFT_241655 ",-0.876923688546816,9.95724830701335,0.0237375891015338,"temp",-1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"106","OEU09370.1","228652","WD40 repeat-like protein ",-0.775241721312447,10.268207318434,0.0245524280220613,"temp",-1,"K14830","Genetic Information Processing","Translation","Ribosome biogenesis [BR:ko03009]","Eukaryotic Type","Pre-60S particles","Other pre-60S particles","",""
"107","OEU17651.1","268766","FAD-linked oxidoreductase ",-1.00073446930581,9.31997971318735,0.0245833218000164,"temp",-1,"K00318","Metabolism","Amino acid metabolism","Arginine and proline metabolism [PATH:ko00330]","","","","",""
"108","OEU13382.1","170947","hypothetical protein FRACYDRAFT_170947, partial ",-0.514401815676399,11.0137681146592,0.02601775772042,"temp",-1,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"109","OEU08538.1","174052","hypothetical protein FRACYDRAFT_174052, partial ",1.5005512348279,9.69730849668034,0.0297224956414028,"temp",1,"K07905","Environmental Information Processing","Signal transduction","AMPK signaling pathway [PATH:ko04152]","","","","",""
"110","OEU08538.1","174052","hypothetical protein FRACYDRAFT_174052, partial ",1.5005512348279,9.69730849668034,0.0297224956414028,"temp",1,"K07905","Cellular Processes","Transport and catabolism","Endocytosis [PATH:ko04144]","","","","",""
"111","OEU08538.1","174052","hypothetical protein FRACYDRAFT_174052, partial ",1.5005512348279,9.69730849668034,0.0297224956414028,"temp",1,"K07905","Genetic Information Processing","Folding, sorting and degradation","Membrane trafficking [BR:ko04131]","Protein recycling","Rab GTPases and associated proteins","Rab GTPases","",""
"112","OEU08538.1","174052","hypothetical protein FRACYDRAFT_174052, partial ",1.5005512348279,9.69730849668034,0.0297224956414028,"temp",1,"K07905","Environmental Information Processing","Signaling molecules and interaction","GTP-binding proteins[BR:ko04031]","Small (Monomeric) G-proteins","Rab Family","Rab11/25 [OT]","",""
"113","OEU08538.1","174052","hypothetical protein FRACYDRAFT_174052, partial ",1.5005512348279,9.69730849668034,0.0297224956414028,"temp",1,"K07905","Cellular Processes","Transport and catabolism","Exosome [BR:ko04147]","Exosomal proteins","Exosomal proteins of haemopoietic cells  (B-cell, T-cell, DC-cell, reticulocyte, and mast cell)","","",""
"114","OEU08538.1","174052","hypothetical protein FRACYDRAFT_174052, partial ",1.5005512348279,9.69730849668034,0.0297224956414028,"temp",1,"K07905","Cellular Processes","Transport and catabolism","Exosome [BR:ko04147]","Exosomal proteins","Exosomal proteins of other body fluids (saliva and urine)","","",""
"115","OEU08538.1","174052","hypothetical protein FRACYDRAFT_174052, partial ",1.5005512348279,9.69730849668034,0.0297224956414028,"temp",1,"K07905","Cellular Processes","Transport and catabolism","Exosome [BR:ko04147]","Exosomal proteins","Exosomal proteins of colorectal cancer cells","","",""
"116","OEU17546.1","275128","proteasome subunit alpha ",1.40079813185983,10.4992337493709,0.0311199560727618,"temp",1,"K02729","Genetic Information Processing","Folding, sorting and degradation","Proteasome [PATH:ko03050]","","","","",""
"117","OEU17546.1","275128","proteasome subunit alpha ",1.40079813185983,10.4992337493709,0.0311199560727618,"temp",1,"K02729","Metabolism","Enzyme families","Peptidases [BR:ko01002]","Threonine Peptidases","Family T1: proteasome family","","",""
"118","OEU17546.1","275128","proteasome subunit alpha ",1.40079813185983,10.4992337493709,0.0311199560727618,"temp",1,"K02729","Genetic Information Processing","Folding, sorting and degradation","Proteasome [BR:ko03051]","Eukaryotic proteasome","Core particles (20S proteasome)","alpha type subunits","",""
